-12.855964	1.497687	
2.507755	2.507755	
3.459773	3.459773	
4.585941	4.585941	
5.688889	5.688889	
6.176508	6.176508	
7.024036	7.024036	
7.569705	7.569705	
8.904853	8.904853	
9.322812	9.322812	
9.775601	9.775601	
10.866939	10.866939	
11.354558	11.354558	
11.830567	11.830567	
13.003175	13.003175	
13.839093	13.839093	
14.396372	14.396372	
14.895601	14.895601	
15.522540	15.522540	
17.113107	17.113107	
17.600726	17.600726	
18.041905	18.041905	
19.179683	19.179683	
20.154921	20.154921	
21.373968	21.373968	
22.233107	22.233107	
23.394104	23.394104	
23.951383	25.007891	
