1.137778	1.137778	
1.683447	1.683447	
2.275556	2.275556	
2.798005	2.798005	
3.366893	3.366893	
3.970612	3.970612	
4.539501	4.539501	
5.096780	5.096780	
5.572789	5.572789	
6.141678	6.141678	
6.710567	6.710567	
7.325896	7.325896	
7.894785	7.894785	
8.486893	8.486893	
9.067392	9.067392	
9.636281	9.636281	
10.205170	10.205170	
10.785669	10.785669	
11.354558	11.354558	
11.911837	11.911837	
12.503946	12.503946	
13.072834	13.072834	
13.688163	13.688163	
14.233832	14.233832	
14.767891	14.767891	
15.371610	15.371610	
15.998549	15.998549	
16.532608	16.532608	
17.113107	17.113107	
17.798095	17.798095	
18.308934	18.308934	
18.854603	18.854603	
19.423492	19.423492	
20.027211	20.027211	
20.596100	20.596100	
21.153379	21.153379	
21.757098	21.757098	
22.488526	22.488526	
